date, pm25, pm10, o3, no2, so2, co
11/1/2025,204, , , , , 
10/1/2025,123,133,32,12,5,6
10/2/2025,138,127,32,11,5,8
10/3/2025,92,221,36,18,5,10
10/4/2025,155,211,46,18,5,10
10/5/2025,160,92,13,14,1,5
10/6/2025,97,44,28,11,6,5
10/7/2025,63,81,24,14,5,9
10/8/2025,106,99,40,2,8,6
10/9/2025,115,213,65,5,6,9
10/10/2025,157,346,47,7,9,9
10/11/2025,173,139,56,7,9,7
10/12/2025,151,266,59,12,5,11
10/13/2025,177,322,68,25,6,11
10/14/2025,174,470,75,41,5,15
10/15/2025,202,413,67,44,6,17
10/16/2025,205,316,55,50,3,14
10/17/2025,194,314,68,49,7,10
10/18/2025,206,282,62,47,2,16
10/19/2025,217,206,43,46,6,13
10/20/2025,237,290,27,29,3,9
10/21/2025,310,159,41,40,3,17
10/22/2025,227,123,57,44,5,13
10/23/2025,179,281,50,47,4,16
10/24/2025,208,373,71,64,8,16
10/25/2025,245,398,67,50,4,12
10/26/2025,252,269,25,38,5,10
10/27/2025,233,314,25,35,2,9
10/28/2025,294,437,29,44,1,15
10/29/2025,296,348,12,37,2,15
10/30/2025,278,268,34,24,3,13
10/31/2025,348,187,46,27,3,9
7/1/2025,82,108,6,9,4,9
7/2/2025,94,66,8,8,3,8
7/3/2025,84,60,6,9,4,7
7/4/2025,78,93,11,10,2,10
7/5/2025,93,68,2,9,3,8
7/6/2025,83,61,6,9,4,14
7/7/2025,74,197,28,10,4,10
7/8/2025,134,57,6,16,3,9
7/9/2025,61,44,6,12,3,10
7/10/2025,70,78,5,14,4,10
7/11/2025,109,80,5,14,4,9
7/12/2025,109,63,7,15,3,9
7/13/2025,79,37,3,3,3,5
7/14/2025,52,57,3, ,4,7
7/15/2025,59,108,3, ,2,9
7/16/2025,90,73,3, ,2,9
7/17/2025,69,38,4, ,3,8
7/18/2025,61,94,3, ,5,7
7/19/2025,74,102,3, ,3,9
7/20/2025,83,120,10, ,4,9
7/21/2025,112,89,13,2,3,10
7/22/2025,108,50,6,2,1,11
7/23/2025,76,76,34,2,3,8
7/24/2025,85,99,51,5,4,10
7/25/2025,115,76,7,6,4,8
7/26/2025,75,87,6,6,4,9
7/27/2025,87,87,24,6,3,9
7/28/2025,104,48,5,6,3,10
7/29/2025,64,60,13,5,2,9
7/30/2025,71,47,16,4,2,5
7/31/2025,100,59,26,4,3,4
8/1/2025,85,78,43,4,6,7
8/2/2025,76,66,15,4,4,8
8/3/2025,72,91,20,4,3,10
8/4/2025,89,97,17,4,4,10
8/5/2025,85,107,21,4,4,10
8/6/2025,91,102,18,4,1,9
8/7/2025,79,97,21,4,2,11
8/8/2025,78,40,14,4,3,9
8/9/2025,57,92,16,4,4,13
8/10/2025,103,93,18,4,3,9
8/11/2025,90,77,21,4,3,10
8/12/2025,89,192,18,3,3,12
8/13/2025,121,48,15,4,3,10
8/14/2025,70,69,14,4,3,11
8/15/2025,101,81,15,3,4,9
8/16/2025,103,78,15,4,2,8
8/17/2025,106,57,16,4,2,8
8/18/2025,84,73,36,4,3,11
8/19/2025,94,59,17,4,3,7
8/20/2025,65,64,13,4,4,12
8/21/2025,81,118,14,3,1,10
8/22/2025,125,68,12,4,4,4
8/23/2025,94,51,14,4,1,2
8/24/2025,67,43,14,4,2,6
8/25/2025,68,35,13,4,3,5
8/26/2025,63,68,11,4,3,6
8/27/2025,101,132,13,4,2,6
8/28/2025,152,68,12,4,4,8
8/29/2025,111,76,17,4,3,2
8/30/2025,90,75,19,4,3,4
8/31/2025,84,54,16,4,3,3
9/1/2025,53,28,21,9,3,2
9/2/2025,41,31,20,10,2,4
9/3/2025,51,51,24,9,3,5
9/4/2025,71,47,22,5,2,4
9/5/2025,62,70,23,4,3,4
9/6/2025,83,70,20,5,2,4
9/7/2025,86,115,20,10,4,7
9/8/2025,93,115,20,15,4,6
9/9/2025,86,71,12,11,5,6
9/10/2025,69,85,16,14,4,7
9/11/2025,71,107,15,14,4,6
9/12/2025,77,196,25,14,4,7
9/13/2025,98,174,20,16,6,7
9/14/2025,122,153,24,16,5,8
9/15/2025,103,131,35,15,6,7
9/16/2025,112,99,33,12,6,7
9/17/2025,130,97,39,13,6,8
9/18/2025,125,104,26,15,3,5
9/19/2025,104,117,17,12,3,7
