date, pm25, pm10, o3, no2, co
2025/11/1, 194, , , , 
2025/10/1, 106, 61, 37, 4, 4
2025/10/2, 111, 51, 29, 3, 3
2025/10/3, 84, 90, 39, 3, 4
2025/10/4, 147, 85, 48, 4, 1
2025/10/5, 143, 55, 19, 3, 1
2025/10/6, 94, 31, 28, 7, 
2025/10/7, 62, 56, 37, 6, 1
2025/10/8, 100, 70, 35, 5, 1
2025/10/9, 105, 101, 56, 7, 1
2025/10/10, 143, 107, 46, 6, 3
2025/10/11, 156, 99, 51, 7, 1
2025/10/12, 145, 112, 53, 10, 2
2025/10/13, 157, 114, 62, 7, 4
2025/10/14, 155, 118, 76, 8, 3
2025/10/15, 165, 137, 65, 7, 4
2025/10/16, 174, 140, 57, 3, 6
2025/10/17, 176, 146, 64, 2, 6
2025/10/18, 183, 152, 52, 2, 4
2025/10/19, 199, 179, 44, 5, 3
2025/10/20, 217, 331, 25, 6, 3
2025/10/21, 325, 170, 30, 9, 3
2025/10/22, 227, 135, 37, 8, 3
2025/10/23, 184, 132, 28, 8, 6
2025/10/24, 179, 146, 30, 8, 9
2025/10/25, 188, 132, 29, 9, 7
2025/10/26, 188, 130, 15, 9, 4
2025/10/27, 180, 108, 15, 12, 2
2025/10/28, 148, 141, 14, 10, 4
2025/10/29, 191, 163, 9, 10, 5
2025/10/30, 214, 85, 5, 7, 3
2025/10/31, 153, 131, 17, 13, 5
2025/7/1, 63, 49, 27, 6, 11
2025/7/2, 71, 45, 28, 2, 11
2025/7/3, 60, 47, 35, 6, 11
2025/7/4, 61, 47, 35, 5, 11
2025/7/5, 67, 60, 39, 6, 11
2025/7/6, 86, 45, 48, 6, 12
2025/7/7, 62, 69, 33, 4, 13
2025/7/8, 89, 45, 42, 4, 11
2025/7/9, 58, 25, 33, 4, 11
2025/7/10, 47, 56, 32, 5, 12
2025/7/11, 79, 58, 36, 4, 12
2025/7/12, 84, 48, 27, 4, 11
2025/7/13, 62, 24, 24, 4, 11
2025/7/14, 55, 37, 25, 9, 10
2025/7/15, 56, 53, 27, 6, 11
2025/7/16, 71, 41, 28, 6, 11
2025/7/17, 56, 38, 25, 5, 8
2025/7/18, 61, 34, 26, , 5
2025/7/19, 53, 46, 30, , 5
2025/7/20, 61, 63, 19, 1, 6
2025/7/21, 90, 51, 16, 11, 7
2025/7/22, 84, 41, 11, 5, 7
2025/7/23, 62, 60, 24, 1, 6
2025/7/24, 87, 78, 23, 1, 1
2025/7/25, 100, 43, 39, 1, 1
2025/7/26, 60, 44, 24, 1, 1
2025/7/27, 82, 52, 32, 1, 1
2025/7/28, 69, 36, 13, 2, 1
2025/7/29, 56, 28, 17, 2, 1
2025/7/30, 56, 31, 16, 2, 1
2025/7/31, 54, 42, 19, 2, 4
2025/8/1, 68, 55, 20, 1, 5
2025/8/2, 75, 56, 20, 2, 5
2025/8/3, 80, 62, 14, 2, 6
2025/8/4, 104, 77, 16, 4, 5
2025/8/5, 73, 68, 26, 4, 5
2025/8/6, 78, 84, 34, 3, 5
2025/8/7, 85, 78, 16, 3, 5
2025/8/8, 92, 39, 8, 3, 6
2025/8/9, 59, 62, 15, 2, 8
2025/8/10, 89, 67, 19, 3, 6
2025/8/11, 86, 57, 22, 2, 6
2025/8/12, 77, 78, 40, 2, 7
2025/8/13, 98, 41, 11, 2, 10
